Name,Latitude,Longitude,Address,Phone,Website,Social
Baobá,38.7159425,-9.165286,Rua Tomás da Anunciação 26<br>1350-142 Lisboa,https://baobalivraria.pt/,https://www.instagram.com/baobalivraria/
Bookshop Bivar,38.732725,-9.1388766,Rua de Ponta Delgada 34A<br>1000-243 Lisboa
Calopim Libros Second Hand,38.7128306,-9.1583387,Rua da Bela Vista à Lapa 3<br>1200-667 Lisboa
Distopia,38.7147478,-9.1538827,Rua de São Bento 394<br>1200-822 Lisboa
Fábula Urbis,38.7101306,-9.1320483,Rua Augusto Rosa 27<br>1100-058 Lisboa
It's a Book,38.7250884,-9.133254,Rua do Forno do Tijolo 30 A<br>1170-137 Lisboa
Kingpin Books,38.7287721,-9.1345074,Av. Alm. Reis 82 A<br>1150-021 Lisboa
Ler Devagar,38.7035223,-9.1788427,Rua Rodrigues de Faria 103 - G 0.3<br>1300-501 Lisboa
Livraria Ferin,38.7101096,-9.1392056,Rua Nova do Almada 72<br>1249-098 Lisboa
Livraria Ler,38.717588,-9.1646802,Rua Almeida e Sousa 24<br>1350-271 Lisboa
Livraria Sá da Costa,38.7107332,-9.1417748,Rua Garrett 100<br>1200-273 Lisboa
Livraria do Simão,38.7127553,-9.136075,Escadinhas de São Cristóvão 18<br>1100-204 Lisboa
Livraria Solidária de Carnide,38.7576119,-9.1862852,Rua Adelaide Cabete<br>1600-187 Lisboa
Livraria Trindade,38.7089912,-9.1431438,Rua do Alecrim 36<br>1200-018 Lisboa
Livraria Campos Trindade,38.7091187,-9.1431058,Rua do Alecrim, 44<br>1200-018 Lisboa
Nouvelle Librairie Française,38.7339882,-9.1493984,Rua Pinheiro Chagas 50B<br>1050-179 Lisboa
Tigre de Papel,38.7306859,-9.1363297,Rua de Arroios nº25<br>1150-053 Lisboa
Tinta nos Nervos,38.708522,-9.1538839,Rua da Esperança 39<br>1200-655 Lisboa
XYZ Books,38.7275595,-9.1317117,Rua Ilha do Príncipe 3A porta E<br>1170-182 Lisboa
Meia Volta de Urano - Casa das Artes,38.6865874,-9.1486885,Rua Cândido dos Reis 49, 2800-269 Almada
Livraria Escriba,38.6701114,-9.1590515,Rua Cooperativa Piedense 100, 2805-256 Almada
BL Livreiros by BooksLive,38.6803829,-9.3199481,Galerias Alto da Barra, Av. das Descobertas 59 Piso, - 1, 2780-053 Oeiras
GATAfunho,38.6921104,-9.312279,Largo 5 de Outubro, nº 9/10, 2780-225 Oeiras
Livraria e Papelaria Espaço,38.7015395,-9.2297534,Av. Combatentes da Grande Guerra, 51 – 1495-039 Algés
RG Livreiros,38.7000364,-9.4203957,Alameda dos Combatentes da Grande Guerra, 270A
2750-326 Cascais
Hipopómatos na Lua,38.801511,-9.3840732,Rua Gomes de Amorim 12-14, 2710-569 Sintra
